month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2017-09,Alabama,16717.0,0.0,5734.0,6320.0,221.0,317,0.0,15.0,21.0,2.0,1378.0,1262.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,3.0,0.0,0.0,3.0,32019
2017-09,Alaska,209.0,2.0,2320.0,2930.0,219.0,160,0.0,5.0,2.0,0.0,200.0,154.0,2.0,28.0,30.0,0.0,0.0,0.0,17.0,24.0,1.0,0.0,0.0,0.0,6303
2017-09,Arizona,5069.0,382.0,11063.0,7946.0,920.0,631,0.0,13.0,6.0,0.0,1474.0,748.0,3.0,82.0,5.0,0.0,0.0,0.0,38.0,12.0,2.0,0.0,0.0,0.0,28394
2017-09,Arkansas,2935.0,632.0,4347.0,6063.0,165.0,366,51.0,12.0,13.0,0.0,1296.0,1824.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,2.0,1.0,17747
2017-09,California,57839.0,0.0,37165.0,24581.0,2984.0,0,0.0,0.0,0.0,0.0,535.0,397.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123506
2017-09,Colorado,4356.0,0.0,15751.0,13448.0,1007.0,1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35873
2017-09,Connecticut,4343.0,673.0,4834.0,1993.0,274.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12117
2017-09,Delaware,275.0,0.0,1414.0,1538.0,66.0,68,0.0,0.0,1.0,0.0,26.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,34.0,3.0,1.0,2.0,0.0,3502
2017-09,District of Columbia,1.0,0.0,56.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61
2017-09,Florida,10784.0,0.0,39199.0,17949.0,2319.0,1721,1.0,18.0,7.0,0.0,3657.0,1416.0,6.0,264.0,28.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,1.0,0.0,77390
2017-09,Georgia,12074.0,0.0,10933.0,7982.0,315.0,494,0.0,20.0,14.0,2.0,2038.0,1467.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,35371
2017-09,Guam,0.0,0.0,74.0,47.0,10.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135
2017-09,Hawaii,946.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948
2017-09,Idaho,5162.0,0.0,3058.0,5241.0,187.0,205,0.0,0.0,6.0,0.0,386.0,633.0,2.0,27.0,5.0,1.0,0.0,0.0,7.0,14.0,1.0,3.0,0.0,0.0,14938
2017-09,Illinois,15712.0,71432.0,18290.0,10201.0,0.0,814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116449
2017-09,Indiana,18241.0,0.0,16093.0,11332.0,1123.0,597,79.0,5.0,17.0,1.0,289.0,570.0,9.0,22.0,0.0,0.0,0.0,0.0,75.0,57.0,6.0,4.0,4.0,0.0,48524
2017-09,Iowa,5847.0,1217.0,151.0,2640.0,27.0,1,1.0,0.0,1.0,0.0,4.0,51.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9975
2017-09,Kansas,1567.0,3.0,4518.0,5025.0,306.0,297,0.0,3.0,0.0,1.0,663.0,421.0,6.0,10.0,7.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,1.0,0.0,12856
2017-09,Kentucky,378384.0,0.0,8112.0,7543.0,253.0,543,1.0,16.0,15.0,0.0,1915.0,1875.0,3.0,1.0,1.0,0.0,0.0,0.0,21.0,19.0,1.0,2.0,1.0,0.0,398706
2017-09,Louisiana,1827.0,0.0,10495.0,11573.0,635.0,776,0.0,6.0,4.0,1.0,1271.0,1154.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,3.0,2.0,2.0,0.0,27821
2017-09,Maine,783.0,0.0,3026.0,4220.0,179.0,186,1.0,0.0,0.0,0.0,126.0,153.0,0.0,10.0,11.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,8715
2017-09,Mariana Islands,0.0,0.0,12.0,3.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2017-09,Maryland,2424.0,0.0,3389.0,4897.0,168.0,34,0.0,0.0,5.0,0.0,80.0,146.0,1.0,57.0,26.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,11255
2017-09,Massachusetts,7160.0,0.0,4749.0,2808.0,449.0,158,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,33.0,20.0,4.0,4.0,1.0,15460
2017-09,Michigan,16571.0,19.0,8654.0,10676.0,379.0,163,0.0,1.0,4.0,1.0,4.0,313.0,0.0,84.0,13.0,0.0,0.0,0.0,21.0,40.0,1.0,0.0,0.0,0.0,36944
2017-09,Minnesota,25645.0,0.0,4862.0,12677.0,346.0,273,0.0,1.0,2.0,0.0,179.0,507.0,2.0,14.0,12.0,1.0,0.0,0.0,13.0,16.0,0.0,0.0,1.0,1.0,44552
2017-09,Mississippi,1362.0,0.0,6260.0,6035.0,206.0,405,0.0,33.0,23.0,1.0,1683.0,1456.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,17491
2017-09,Missouri,791.0,0.0,16993.0,14395.0,1050.0,991,0.0,12.0,5.0,1.0,1651.0,1355.0,5.0,157.0,17.0,0.0,0.0,0.0,75.0,66.0,3.0,1.0,3.0,0.0,37571
2017-09,Montana,1076.0,0.0,2395.0,4878.0,140.0,216,3.0,4.0,4.0,2.0,474.0,1035.0,1.0,14.0,1.0,2.0,0.0,0.0,10.0,21.0,4.0,2.0,1.0,0.0,10283
2017-09,Nebraska,3036.0,113.0,110.0,1989.0,11.0,4,0.0,0.0,3.0,0.0,6.0,57.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5345
2017-09,Nevada,1952.0,0.0,3992.0,2509.0,251.0,237,0.0,0.0,0.0,0.0,354.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9460
2017-09,New Hampshire,2795.0,0.0,4410.0,3248.0,132.0,3,2.0,0.0,1.0,0.0,0.0,27.0,0.0,63.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10689
2017-09,New Jersey,0.0,0.0,3985.0,3040.0,140.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7165
2017-09,New Mexico,847.0,0.0,5309.0,4508.0,353.0,284,0.0,5.0,2.0,0.0,529.0,596.0,0.0,44.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,12491
2017-09,New York,2933.0,1164.0,8392.0,16213.0,998.0,185,0.0,0.0,1.0,1.0,21.0,20.0,4.0,12.0,43.0,1.0,3.0,5.0,348.0,328.0,19.0,7.0,4.0,1.0,30703
2017-09,North Carolina,19292.0,0.0,1235.0,11340.0,657.0,233,0.0,11.0,12.0,0.0,2244.0,2228.0,4.0,0.0,0.0,0.0,12.0,5.0,9.0,40.0,2.0,0.0,1.0,0.0,37325
2017-09,North Dakota,486.0,0.0,1359.0,2919.0,99.0,82,3.0,0.0,3.0,1.0,90.0,141.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,2.0,1.0,0.0,0.0,5212
2017-09,Ohio,8741.0,490.0,21085.0,14998.0,1202.0,1026,0.0,9.0,8.0,0.0,1440.0,817.0,7.0,18.0,1.0,0.0,0.0,0.0,58.0,36.0,4.0,1.0,1.0,0.0,49942
2017-09,Oklahoma,0.0,0.0,8869.0,9020.0,741.0,807,0.0,17.0,19.0,0.0,1969.0,1821.0,2.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,4.0,1.0,5.0,0.0,23371
2017-09,Oregon,3774.0,11.0,11557.0,11773.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27277
2017-09,Pennsylvania,23144.0,0.0,39825.0,13222.0,48.0,0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77003
2017-09,Puerto Rico,0.0,0.0,619.0,123.0,17.0,22,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,791
2017-09,Rhode Island,0.0,0.0,907.0,619.0,70.0,163,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,5.0,0.0,0.0,15.0,8.0,1.0,1.0,2.0,0.0,1799
2017-09,South Carolina,9380.0,349.0,7574.0,6037.0,379.0,295,0.0,22.0,8.0,2.0,1051.0,759.0,2.0,47.0,2.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,25930
2017-09,South Dakota,562.0,0.0,2020.0,4155.0,154.0,141,0.0,1.0,0.0,0.0,143.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,7457
2017-09,Tennessee,16887.0,0.0,19219.0,13746.0,1042.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50945
2017-09,Texas,31390.0,0.0,39119.0,39416.0,2768.0,2473,0.0,59.0,44.0,4.0,7566.0,5099.0,42.0,48.0,4.0,0.0,0.0,0.0,121.0,87.0,13.0,2.0,5.0,0.0,128260
2017-09,Utah,12094.0,25.0,2840.0,3960.0,212.0,0,0.0,3.0,3.0,0.0,285.0,428.0,3.0,125.0,47.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20041
2017-09,Vermont,0.0,0.0,1276.0,1591.0,90.0,80,0.0,0.0,0.0,0.0,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,3084
2017-09,Virgin Islands,1.0,0.0,6.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2017-09,Virginia,585.0,0.0,19676.0,15075.0,1100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36446
2017-09,Washington,11451.0,44.0,13292.0,11548.0,1623.0,587,3.0,12.0,11.0,0.0,1325.0,1284.0,7.0,416.0,85.0,9.0,0.0,0.0,701.0,590.0,42.0,5.0,13.0,1.0,43049
2017-09,West Virginia,1668.0,0.0,5204.0,6161.0,216.0,387,11.0,15.0,13.0,0.0,1380.0,1618.0,2.0,10.0,0.0,3.0,0.0,0.0,16.0,18.0,0.0,1.0,0.0,0.0,16723
2017-09,Wisconsin,12224.0,0.0,10918.0,13133.0,612.0,43,0.0,0.0,5.0,4.0,149.0,333.0,4.0,40.0,18.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,37506
2017-09,Wyoming,280.0,11.0,1337.0,2015.0,61.0,97,1.0,1.0,2.0,0.0,139.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,0.0,0.0,0.0,4281
2017-08,Alabama,19733.0,4.0,6289.0,6045.0,216.0,311,0.0,10.0,13.0,2.0,1314.0,1071.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,2.0,0.0,0.0,0.0,35038
2017-08,Alaska,247.0,13.0,2656.0,3097.0,207.0,184,0.0,4.0,5.0,0.0,218.0,204.0,1.0,31.0,23.0,0.0,0.0,0.0,19.0,36.0,0.0,0.0,1.0,0.0,6946
2017-08,Arizona,6733.0,326.0,10864.0,7686.0,908.0,627,0.0,9.0,4.0,0.0,1397.0,682.0,6.0,95.0,7.0,0.0,0.0,0.0,17.0,14.0,1.0,0.0,0.0,0.0,29376
2017-08,Arkansas,3313.0,957.0,4827.0,5297.0,220.0,323,34.0,9.0,5.0,1.0,1048.0,1453.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,2.0,1.0,1.0,17517
2017-08,California,59528.0,0.0,41110.0,26220.0,3058.0,0,0.0,0.0,0.0,0.0,538.0,429.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130901
2017-08,Colorado,5219.0,0.0,16610.0,12925.0,1013.0,1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37150
2017-08,Connecticut,5896.0,420.0,5289.0,1988.0,290.0,0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14019
2017-08,Delaware,288.0,0.0,1571.0,1349.0,94.0,58,0.0,0.0,0.0,0.0,29.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,4.0,0.0,0.0,0.0,3509
2017-08,District of Columbia,19.0,0.0,54.0,6.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
