tweet_id,retweets,tweet_favorites,user_followers,user_favorites,creation_date
892420643555336193,7949,37164,8336977,143177,2017-08-01 16:23:56
892177421306343426,5903,31967,8336977,143177,2017-08-01 00:17:27
891815181378084864,3903,24070,8336977,143177,2017-07-31 00:18:03
891689557279858688,8103,40483,8336977,143177,2017-07-30 15:58:51
891327558926688256,8786,38709,8336977,143177,2017-07-29 16:00:24
891087950875897856,2922,19460,8336977,143177,2017-07-29 00:08:17
890971913173991426,1940,11352,8336977,143177,2017-07-28 16:27:12
890729181411237888,17719,62685,8336977,143177,2017-07-28 00:22:40
890609185150312448,4022,26766,8336977,143177,2017-07-27 16:25:51
890240255349198849,6916,30666,8336977,143177,2017-07-26 15:59:51
890006608113172480,6881,29502,8336977,143177,2017-07-26 00:31:25
889880896479866881,4687,26762,8336977,143177,2017-07-25 16:11:53
889665388333682689,9426,46192,8336977,143177,2017-07-25 01:55:32
889638837579907072,4226,26031,8336977,143177,2017-07-25 00:10:02
889531135344209921,2117,14533,8336977,143177,2017-07-24 17:02:04
889278841981685760,5030,24238,8336977,143177,2017-07-24 00:19:32
888917238123831296,4227,27980,8336977,143177,2017-07-23 00:22:39
888804989199671297,4000,24581,8336977,143177,2017-07-22 16:56:37
888554962724278272,3303,19014,8336977,143177,2017-07-22 00:23:06
888078434458587136,3269,20909,8336977,143177,2017-07-20 16:49:33
887705289381826560,5053,29018,8336977,143177,2017-07-19 16:06:48
887517139158093824,11022,44518,8336977,143177,2017-07-19 03:39:09
887473957103951883,16941,66203,8336977,143177,2017-07-19 00:47:34
887343217045368832,9819,32355,8336977,143177,2017-07-18 16:08:03
887101392804085760,5600,29375,8336977,143177,2017-07-18 00:07:08
886983233522544640,7219,33699,8336977,143177,2017-07-17 16:17:36
886736880519319552,3045,11553,8336977,143177,2017-07-16 23:58:41
886680336477933568,4187,21548,8336977,143177,2017-07-16 20:14:00
886366144734445568,2997,20337,8336977,143177,2017-07-15 23:25:31
886267009285017600,4,116,8336977,143177,2017-07-15 16:51:35
886258384151887873,5928,26880,8336977,143177,2017-07-15 16:17:19
886054160059072513,104,0,8336977,143177,2017-07-15 02:45:48
885984800019947520,6343,31342,8336977,143177,2017-07-14 22:10:11
885528943205470208,6017,34569,8336977,143177,2017-07-13 15:58:47
885518971528720385,3504,19660,8336977,143177,2017-07-13 15:19:09
885311592912609280,17411,0,8336977,143177,2017-07-13 01:35:06
885167619883638784,4112,21048,8336977,143177,2017-07-12 16:03:00
884925521741709313,17037,74317,8336977,143177,2017-07-12 00:01:00
884876753390489601,5267,26810,8336977,143177,2017-07-11 20:47:12
884562892145688576,4430,23348,8336977,143177,2017-07-11 00:00:02
884441805382717440,5345,25984,8336977,143177,2017-07-10 15:58:53
884247878851493888,19108,70028,8336977,143177,2017-07-10 03:08:17
884162670584377345,2806,19575,8336977,143177,2017-07-09 21:29:42
